FID,NFDBFIREID,SRC_AGENCY,NAT_PARK,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,SIZE_HA,CAUSE,CAUSE2,FIRE_TYPE,RESPONSE,PROTZONE,PRESCRIBED,MORE_INFO,CFS_NOTE1,CFS_NOTE2,ACQ_DATE
144995,BC-2010-2010-K50233,BC, ,2010-K50233, ,50.0008,-119.569,2010,7,24,2010-07-24 00:00:00,,,0.009,H,H,Fire, , , , , , ,2020-05-05 00:00:00
261216,MB-1988-5-3-26-88,MB, ,5-3-26-88, ,50.6187,-96.2632,1988,5,6,1988-05-06 00:00:00,,1988-05-07 00:00:00,0.1,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
270145,MB-1967-215,MB, ,215, ,53.25,-96.75,1967,8,13,1967-08-13 00:00:00,,,760.0,N,N, , ,Intensive, , , , ,2008-11-12 00:00:00
388646,ON-1995-BAN44,ON, ,BAN44, ,44.989,-77.0233,1995,4,16,1995-04-16 00:00:00,,1995-04-16 00:00:00,0.20000000298,H,H,IFR,SUP, , , , , ,2023-05-06 00:00:00
58244,BC-1973-1973-NH0259,BC, ,1973-NH0259, ,49.296,-115.155,1973,7,20,1973-07-20 00:00:00,,,0.1,H,H,Fire, , , , , , ,2020-05-05 00:00:00
349904,YT-1999-1999CA002,YT, ,1999CA002, ,62.2,-135.7,1999,6,10,1999-06-10 00:00:00,,,0.1,N,N, , , , , , , ,2016-06-16 00:00:00
321114,NL-2012-504,NL, ,2012-504, ,49.3,-57.4,2012,5,2,2012-05-02 00:00:00,,,1.0,H,H, , , , , ,merged with orig src, ,2018-03-15 00:00:00
391131,ON-1998-WAW59,ON, ,WAW59, ,49.2168,-84.8785,1998,7,8,1998-07-08 00:00:00,,1998-07-13 00:00:00,1.0,H,H,IFR,SUP, , , , , ,2023-05-06 00:00:00
66483,BC-1980-1980-G70005,BC, ,1980-G70005, ,55.833,-121.587,1980,4,22,1980-04-22 00:00:00,,,1.5,H,H,Fire, , , , , , ,2020-05-05 00:00:00
372361,ON-1981-DRY26,ON, ,DRY26, ,49.9766,-93.0625,1981,8,21,1981-08-21 00:00:00,,1981-08-29 00:00:00,0.800000011921,N,N,IFR, , , , , , ,2023-05-06 00:00:00
